"13455888"	21203.5045
"1184351"	10647.0403
"1384888"	7205.6236
"13425865"	6044.3423
"14112583"	5403.1743
"13725487"	4793.1278
"12074312"	3664.3918
"1441065"	3565.2075
"14503460"	3490.9953
"12430985"	2976.5293
"12067030"	2299.7235
"12447593"	2218.9964
"12038331"	2083.4175
"14565507"	2051.9948
"12048800"	1564.8698
"1184441"	1485.525
"14523062"	1459.9023
"12077147"	1388.7435
"12131440"	1224.4812
"14517385"	1205.7356
"11943115"	1202.0064
"12453082"	1120.8586
"11942606"	1060.2862
"11875526"	925.3957
"14530506"	848.2444
"13470789"	705.2572
"14517508"	655.3604
"14516802"	622.4417
"12161561"	518.2702
"11876699"	502.0242
"14512497"	458.9854
"13466359"	456.4666
"12161651"	415.8207
"12086157"	403.9796
"14580307"	385.9223
"14565510"	364.7442
"12432869"	341.0817
"13470967"	335.3846
"11973201"	327.8836
"14571565"	305.5843
"14123846"	303.7951
"11876802"	283.2677
"14503688"	273.1556
"1446039"	271.9992
"11954329"	260.5897
"14112840"	245.7012
"12075436"	243.8991
"11876009"	200.3023
"12075592"	185.6222
"13731298"	174.115
"13470860"	155.2245
"12141245"	130.5789
"13471120"	126.4743
"12049990"	124.4301
"12453092"	118.0419
"11961563"	100.1467
"13733230"	97.9519
"14523661"	77.1077
"12040293"	74.587
"14517183"	72.8166
"13738673"	71.4846
"12049033"	68.4436
"11968775"	68.1044
"14112973"	60.9567
"12133457"	53.9193
"13738688"	44.1719
"12086295"	34.8877
"12131501"	34.5062
"11955514"	33.8819
"11954403"	31.8411
"12038424"	30.5914
"12075652"	30.4895
"12134036"	28.7247
"13456392"	28.6643
"13470808"	27.3349
"14524071"	25.8875
"14517105"	22.3327
"12075749"	21.65
"11844821"	19.1962
"14517574"	18.7307
"14523175"	18.1987
"14523759"	15.8742
"14523743"	12.4137
"14571612"	11.7353
"13470984"	11.5472
"1184386"	11.0086
"14512519"	10.9575
"11961683"	10.4674
"11961637"	10.3321
"12133502"	7.5962
"12131550"	6.9198
"12075688"	6.4845
"11961681"	6.0849
"13470877"	5.6475
"14512514"	5.08
"12161701"	4.8044
"12049065"	4.3531
"13470811"	3.9948
"12075755"	3.5548
"13731308"	2.3857
